accident_id,date,time,am_pm,location,description,autonomous_mode,vehicle_1_make,vehicle_1_model,vehicle_1_year,vehicle_1_moving,vehicle_2_make,vehicle_2_model,vehicle_2_year,vehicle_2_moving,weather_conditions,road_conditions,lighting_conditions,roadway_surface,associated_factors,impact_points,vehicle_damage,Ground_Truth
10,10/12/2023,8:12,AM,"San Francisco, San Francisco","A Zoox vehicle was being driven in manual mode eastbound on Jackson street between Montgomery and Sansome Streets when contact was made with the left side mirror of a parked car. There was minor damage to the Zoox vehicle's sensor housing and passenger side mirror. There were no injuries and police were not called.",No,Toyota,Highlander,2017,Yes,,UNK,,No,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_c_1, lighting_c_2","roadway_a_1, roadway_a_2",other_d,right_front_corner_2,MINOR,
11,10/6/2023,11:37,AM,"San Francisco, San Francisco","A Cruise autonomous vehicle (""AV""), operating in driverless autonomous mode, was stopped for a passenger pick-up in the AV’s lane of travel on northbound Scott Street between Oak Street and Page Street. After picking up the passenger while the AV remained stopped, a white Mercedes-Benz Metris reversed out of a driveway and made contact with the AV, damaging the AV’s front driver side door and front driver side auxiliary mirror. The parties exchanged information and there were no reported injuries. ",Yes,Cruise,AV,2023,No,,Metris,2018,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_a_1, lighting_a_2","roadway_a_1, roadway_a_2",Not specified,front_driver_side_1,MINOR,
12,9/30/2023,9:00,AM,"San Francisco, San Francisco","On September 20th, 2023 at 9:00 PM PT a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving a passenger car on US-101 exit ramp 429B at the intersection with Bayshore Boulevard.The Waymo AV was proceeding south on exit ramp 429B in the leftmost lane and entered the slip lane to proceed north on Bayshore Boulevard. As the Waymo AV came to a stop for a red light at the intersection with Bayshore Boulevard, the front of the passenger car which was following behind the Waymo AV made contact with the rear of the Waymo AV. The Waymo AV sustained damage. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present.",Yes,Jaguar,I-Pace,2021,No,,Honda LX Sedan 4D,,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_c_1, lighting_c_2","roadway_a_1, roadway_a_2",Not specified,rear_bumper,MINOR,
13,9/29/2023,2:58,AM,"San Jose, Santa Clara","On September 29th, a test vehicle operating with the automated driving system engaged was traveling Southbound on Highway 101 in San Jose when a nearby white Jeep Cherokee ran over a piece of lumber, which was projected onto the test vehicle.  No injuries were reported and law enforcement was not called to the scene.  The test vehicle sustained minor damage.",Yes,Lexus,RX 450h,2017,Yes,,,,No,weather_b_1,road_conditions_g_1,lighting_a_1,roadway_a_1,other_k,front_bumper,MINOR,
14,9/25/2023,9:37,AM,"San Francisco, San Francisco","A Cruise autonomous vehicle (""AV""), operating in manual mode, was traveling northbound on 25th Avenue between California Street and Clement Street. The AV operator improperly engaged from manual into autonomous mode while the AV was in motion, temporarily causing the AV to steer to the right. The AV operator then disengaged from autonomous mode into manual mode, and shortly thereafter, the AV made contact with an unoccupied and parked red Chrysler Voyager. This caused damage to the AV’s front passenger side bumper fascia. The AV operator left contact information for the other party and there were no reported injuries.",No,Cruise,AV,2020,Yes,,Voyager,2021,No,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_a_1, lighting_a_2","roadway_a_1, roadway_a_2",Not specified,"right_front_corner_2, right_front_corner_3",MINOR,
15,9/27/2023,8:42,AM,"San Francisco, San Francisco","A Cruise autonomous vehicle (“AV”), operating in driverless autonomous mode, was traveling northbound on 2nd Street between Stillman Street and Bryant Street. As the AV was approaching the intersection with Stillman Street, a blue Model 3 Tesla exited out of a parking garage into the AV’s lane of travel. The AV braked and, shortly thereafter, the AV made contact with the Model 3 Tesla, damaging the AV’s front bumper fascia and front passenger side wheel opening molding. The driver of the Model 3 Tesla left the scene without exchanging information. There were no reported injuries. The driver of the Model 3 Tesla later reported damages.",Yes,Cruise,AV,2023,Yes,,Model 3,2018,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_a_1, lighting_a_2","roadway_a_1, roadway_a_2",Not specified,"right_front_corner_2, right_front_corner_3",MINOR,
16,9/28/2023,1:54,AM,"San Francisco, San Francisco","At 1:54pm, a WeRide vehicle (Car 1) was stopped on Embarcadero St left turning lane to Howard St. As our vehicle (Car 1) was stopped for red traffic light, the toyota suv (Car 2) approaching from behind collided with our vehicle (Car 1). Both parties pulled over both involved vehicles and cooperated to exchange information. The damage sustained to the WeRide vehicle (Car 1) and toyota suv (Car 2) are minor.",Yes,Nissan,Leaf,2023,No,,Toyota Highlander,2006,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_a_1, lighting_a_2","roadway_a_1, roadway_a_2",other_a_no,rear_bumper,MINOR,
17,9/26/2023,11:33,AM,"Emeryville, Alameda","On September 26th, a test vehicle operating with the automated driving system engaged was traveling Westbound on Interstate 80 in Emeryville, CA, when it slowed and came to a complete stop in response to traffic. Approximately three seconds later, and while traffic remained stopped ahead, a white Chevrolet Silverado made contact from the rear. No injuries were reported and law enforcement was not called to the scene. Both vehicles sustained damage.",Yes,Lexus,RX 450h,2017,No,,Chevrolet Silverado,2013,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_a_1, lighting_a_2","roadway_a_1, roadway_a_2",other_d,"left_rear_1, rear_bumper, right_rear_1",MAJOR,
18,9/15/2023,5:02,AM,"Milpitas, Alameda","On September 15, 2023, a Pony.ai autonomous vehicle (AV) collided with road debris while operating in supervised autonomous (""Drivered"") mode northbound on the 880 freeway, preparing to enter the Dixon Landing exit.Immediately prior to the incident, the safety driver noticed a flat item was in the center part of the lane. The driver disengaged from autonomous mode and attempted to dodge the debris. However, the debris struck the rear bumper slightly damaging it.Following the collision, the safety operator promptly drove the AV to Pony.ai's Fremont office. There were no injuries reported, and the police were not called.",No,Lincoln,MKZ,2019,Yes,,,,No,weather_a_1,road_conditions_b_1,lighting_a_1,roadway_a_1,"other_b, other_e",right_rear_1,MINOR,
19,9/11/2023,8:34,AM,"San Francisco, San Francisco","On September 11, 2023 at 8:34 PM PT a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving an SUV on Sansome Street near Vallejo Street. While the Waymo AV was pulled over in the right lane on northbound Sansome Street, an SUV that was passing the parked Waymo AV made contact with the rear driver’s side of the Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was not engaged and a test driver was operating the Waymo AV in manual mode. Both vehicles sustained damage. ",No,Jaguar,I-Pace,2021,No,,Land Rover Range Rover,2012,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_c_1, lighting_c_2","roadway_a_1, roadway_a_2",Not specified,left_rear_1,MINOR,
20,9/6/2023,12:25,PM,"San Francisco, San Francisco",An Apollo autonomous vehicle (“AV”) was traveling westbound on Rivera Street in San Francisco in autonomous mode and stopped for a double-parked vehicle near 31st Avenue. An Apollo safety operator disengaged the AV from autonomous mode into conventional mode with use of the steering wheel. Then the AV side-swiped the double-parked vehicle while in conventional mode. There were no injuries and emergency services were not needed. Both the AV and the second vehicle sustained minor damage. ,No,Lincoln,MKZ Hybrid,2017,Yes,,Lexus RX 450H,2018,No,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_a_1, lighting_a_2","roadway_a_1, roadway_a_2",Not specified,front_passenger_side_4,MINOR,
21,9/11/2023,5:32,AM,"San Francisco, San Francisco","A Cruise autonomous vehicle (""AV""), operating in driverless autonomous mode, was at a complete stop in response to a red light on eastbound Bush Street in the second leftmost lane at the intersection with Sansome Street. As the AV attempted to maneuver into the left turn lane, the AV slowed to a complete stop. A delivery truck traveling behind and to the left of the AV proceeded forward and attempted to drive past the AV on the left. Shortly thereafter, the delivery truck made contact with the AV, damaging the AV’s front driver side bumper fascia and front driver side wheel opening molding. The driver of the delivery truck left the scene without exchanging information. There were no reported injuries.",Yes,Cruise,AV,2022,No,,Delivery truck,,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_a_1, lighting_a_2","roadway_a_1, roadway_a_2",Not specified,"front_driver_side_3, left_front_corner_3, left_front_corner_1",MINOR,
22,9/11/2023,3:20,AM,"San Francisco, San Francisco","A Zoox vehicle in autonomy was slowing to a gradual stop on eastbound Folsom St. for a red light at 7th St. when it was rear-ended by vehicle 2 at approximately 10 mph. There was minor damage, no reported injuries, and police were not called.",Yes,Toyota,Highlander,2017,No,,Chevrolet Express,2001,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_a_1, lighting_a_2","roadway_a_1, roadway_a_2",Not specified,"left_rear_1, left_rear_2",MINOR,
23,9/3/2023,12:25,PM,"Los Angeles, Los Angeles","On September 3, 2023 at 12:25 PM PT a Waymo Autonomous Vehicle (“Waymo AV”) operating in Los Angeles, California was in a collision involving a passenger car on East 8th Street and South Main Street. The Waymo AV was parked on the right side of East 8th Street when a passenger car approached from the left and made contact with the left side mirror of the Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was not engaged and a test driver was operating the Waymo AV in manual mode. Both vehicles sustained damage.",No,Jaguar,I-Pace,2021,No,,Honda Odyssey,2003,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_a_1, lighting_a_2","roadway_a_1, roadway_a_2",Not specified,front_driver_side_3,MINOR,
24,8/23/2023,5:54,AM,"San Francisco , San Francisco","At approximately 5:54 p.m. PST on Wednesday, August 23, 2023, at the intersection of Seven Seas Ave and 9th Street on Treasure Island in the city of San Francisco, a Beep-operated autonomous shuttle was proceeding in autonomous mode straight E/B after stopping at a 3-way stop intersection when a vehicle making a left turn heading N/B proceeded out of turn resulting in a collision within the intersection. There were no passengers on board and no injuries reported. Both vehicle sustained minor damage and police did not respond to the scene.  There were no other witness statements received.  ",Yes,Navya,ARMA,2018,Yes,,"Toyota, Corolla",2016,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_a_1, lighting_a_2","roadway_a_1, roadway_a_2",Not specified,"front_bumper, right_front_corner_3",MINOR,
25,8/24/2023,4:39,AM,"Santa Monica, Los Angeles","On August 24, 2023 at 4:39 PM PT a Waymo Autonomous Vehicle (“Waymo AV”) operating in Santa Monica, California was in a collision involving a passenger car on Michigan Avenue at Euclid Street. The Waymo AV was traversing a roundabout at the intersection of Michigan Avenue at Euclid Street when it slowed to a stop for other vehicles approaching and in the roundabout. The front of the passenger car that was in the roundabout behind the Waymo AV made contact with the rear of the Waymo AV. Both vehicles sustained damage.",Yes,Jaguar,I-Pace,2021,Yes,,Dodge Charger GT Sedan 4D,,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_a_1, lighting_a_2","roadway_a_1, roadway_a_2",Not specified,right_rear_1,MINOR,
26,8/23/2023,9:54,AM,"San Francisco, San Francisco","On August 23, 2023 at 9:54 PM PT a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving a heavy truck on Mason Street at Vandewater Street.The Waymo AV was traveling northbound on Mason Street when it approached a heavy truck and trailer that was stopped in the adjacent lane on the left side of the street. As the Waymo began to slowly pass the truck, the truck initiated a reversing turn maneuver into a loading bay on the left side of Mason Street. The Waymo AV then came to a stop, and as the Waymo AV was initiating its own reversing maneuver to clear the path for the truck, the right side of the trailer made contact with the front driver’s side corner of the Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage.",Yes,Jaguar,I-Pace,2021,No,,UNKNOWN (LARGE TRUCK),,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_c_1, lighting_c_2","roadway_a_1, roadway_a_2",Not specified,"left_front_corner_3, left_front_corner_1",MINOR,
27,18-Aug-23,6:05,AM,"Los Angeles, Los Angeles","The driver was manually driving the Mercedes-Benz  vehicle on the interchange from the 105W to 405S when the vehicle in front of him came to an abrupt stop due to slowed traffic on the freeway.  The driver manually brought the Mercedes-Benz vehicle to a stop in his lane.  The vehicle behind him did not come to a stop in time and rear ended the Mercedes-Benz.  There was no injury or property damage. The Mercedes-Benz was able to drive away from the accident.  Damange was sustained to the rear bumper of the Mercedes Benz and the front bumper of the following vehicle. At no point during the incident was the vehicle operating in autonomous mode. ",No,Mercedes-Benz,S580,2021,No,,Chevrolet,2013,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_a_1, lighting_a_2",Not specified,other_k,"left_rear_1, rear_bumper, right_rear_1",MINOR,
28,8/20/2023,5:48,AM,"San Francisco, San Francisco","On August 20, 2023 at 5:49 PM PT the mirror of a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, CA was struck by a cyclist on Martin Luther King Jr. Drive at Crossover Drive.The Waymo AV was stopped in traffic on eastbound Martin Luther King Jr. Drive at the intersection with Crossover Drive, when a cyclist that had been traveling behind the Waymo AV passed the Waymo AV on the left. As the cyclist passed the Waymo AV, the cyclist made contact with the driver side mirror of the Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver’s seating position). The Waymo AV sustained damage and the cyclist did not stop, leaving the scene without exchanging information.",Yes,Jaguar,I-Pace,2021,No,,,,No,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_a_1, lighting_a_2","roadway_a_1, roadway_a_2",Not specified,front_driver_side_3,MINOR,
29,8/19/2023,4:45,AM,"San Francisco, San Francisco","On August 19, 2023 at 4:45 PM PT a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving a passenger car on 13th Street at Mission Street.The Waymo AV entered the slip lane which connects westbound 13th Street to northbound Mission Street and came to a stop to yield to cross-traffic on Mission Street. As the Waymo AV was stopped, the front of the passenger car which was traveling behind the Waymo AV made contact with the rear of the Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver’s seating position). The Waymo AV sustained damage.",Yes,Jaguar,I-Pace,2021,No,,Volkswagen Passat,2012,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_a_1, lighting_a_2","roadway_a_1, roadway_a_2",Not specified,"left_rear_1, rear_bumper, right_rear_1",MINOR,
30,8/16/2023,8:45,AM,"San Francisco, San Francisco","A Zoox vehicle in manual mode was slowing (with brake lights illuminated) in bumper-to-bumper traffic on westbound Sagamore St.approaching Orizaba St. when it was struck from behind by a following vehicle (vehicle 2). There was minor damage apparent to the hoodof the striking vehicle and no damage to the Zoox vehicle. There were no injuries and police were not called.",No,Toyota,Highlander,2017,Yes,,Nissan Altima,2016,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_a_1, lighting_a_2","roadway_a_1, roadway_a_2",other_d,Not specified,NONE,
31,8/18/2023,12:19,PM,"San Francisco, San Francisco","A Cruise autonomous vehicle (“AV”), operating in driverless autonomous mode, was at a complete stop in response to a red light on eastbound 26th Street at the intersection with Mission Street. As the AV was proceeding after the light turned green, a Dodge Charger traveling southbound on Mission Street failed to stop for the red light, entered the intersection, and made contact with the AV, damaging the front and rear driver side and rear bumper fascia of the AV. Police and Emergency Medical Services (EMS) were called to the scene. The AV was towed from the scene. The passenger of the Dodge Charger was assessed by medical personnel at the scene and was not transported by EMS.",Yes,Cruise,AV,2023,No,,Charger,2021,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_c_1, lighting_c_2","roadway_a_1, roadway_a_2",Not specified,"left_rear_1, rear_bumper, front_driver_side_1, left_rear_3, right_rear_2, left_rear_passenger_1, left_rear_passenger_3",MAJOR,
32,8/17/2023,12:12,PM,"San Francisco, San Francisco","A Cruise autonomous vehicle (""AV""), operating in driverless autonomous mode, was at a complete stop in response to a stop sign on eastbound 17th Street at the intersection with Vermont Street. As the AV began to proceed straight, a gray Honda Odyssey traveling westbound on 17th Street on the opposite side of the intersection from the AV entered the intersection and veered into the AV’s lane of travel. The AV stopped in response as the Honda Odyssey continued traveling in the AV’s lane of travel through the intersection and, shortly thereafter, the Honda Odyssey made contact with the AV, damaging the front and rear driver side doors, front driver side radar assembly and rear driver side tire of the AV. The parties exchanged information. There were no reported injuries and the AV was towed from the scene.",Yes,Cruise,AV,2023,No,,Odyssey,1999,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_c_1, lighting_c_2","roadway_a_1, roadway_a_2",Not specified,"front_driver_side_1, left_rear_2, left_rear_passenger_1, left_rear_passenger_3",MINOR,
33,8/14/2023,4:45,AM,"San Francisco, San Francisco","A Cruise autonomous vehicle (“AV”), operating in driverless autonomous mode, was traveling southbound on Albion Street between 16th Street and Camp Street. At the same time, a Ford pickup truck was traveling northbound on Albion Street partially in the AV’s lane of travel. The AV stopped due to limited space to proceed forward due to the encroaching Ford pickup truck, and, shortly thereafter, the Ford pickup truck made contact with the AV, damaging the AV’s rear driver side bumper fascia, rear driver side quarter panel and rear driver side wheel molding. The driver of the Ford pickup truck left the scene without exchanging information. There were no reported injuries.",Yes,Cruise,AV,2023,No,,Ford truck,,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_a_1, lighting_a_2","roadway_a_1, roadway_a_2",Not specified,"left_rear_1, left_rear_2, left_rear_passenger_1",UNK,
34,8/8/2023,10:37,AM,"San Francisco, San Francisco","A Cruise autonomous vehicle (“AV”), operating in driverless autonomous mode, was traveling northbound on Pennsylvania Avenue between 23rd Street and 25th Street when the AV approached a double-parked semi-trailer truck in the AV’s lane of travel. The AV began to maneuver around and to the left of the semi-trailer truck and came to a stop for a stop sign at the intersection with 23rd Street. At the same time, the semi-trailer truck proceeded forward and, shortly thereafter, made contact with the AV. This caused damage to the front passenger side bumper fascia of the AV. The parties exchanged information and there were no reported injuries.",Yes,Cruise,AV,2023,No,,Freightliner,2016,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_a_1, lighting_a_2","roadway_a_1, roadway_a_2",Not specified,"right_front_corner_2, right_front_corner_3",MINOR,
35,8/17/2023,1:05,AM,"San Francisco, San Francisco","On August 17, 2023 at 1:05 PM PT a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving an SUV on Bayshore Boulevard near Jerrold Avenue. The Waymo AV was traveling northbound on Bayshore Boulevard. As the SUV was passing the Waymo AV to the left, it initiated a right lane change. The front of the SUV made contact with the rear of the Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode. Both vehicles sustained damage, and the SUV left the scene without exchanging information.",Yes,Jaguar,I-Pace,2021,Yes,,Toyota Venza FWD V6,2009,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_a_1, lighting_a_2","roadway_a_1, roadway_a_2",Not specified,left_rear_2,MINOR,
36,8/13/2023,9:01,AM,"San Francisco, San Francisco","On August 13, 2023 at 9:01 PM a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving a passenger car on Howard Street at Fourth Street.The Waymo AV was traveling southwestbound on Howard Street in the second lane from the left as it was approaching Fourth Street. As the Waymo AV was proceeding straight through the intersection, the passenger car in the right adjacent lane made a left turn from a straight-only lane onto southeastbound Fourth Street. The rear of the passenger car made contact with the front of the Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was not engaged and a test driver was operating the Waymo AV in manual mode. Both the Waymo AV and the passenger car sustained damage.",No,Jaguar,I-Pace,2021,Yes,,Hyundai Elantra,2013,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_c_1, lighting_c_2","roadway_a_1, roadway_a_2",Not specified,"right_front_corner_2, right_front_corner_3",MINOR,
