MANufACTuRERS NAME,BuSINESS NAME,STATE.0,DATE Of ACCIDENT,Time of Accident,PM,VEhICLE YEAR,MAkE,MODEL,STATE VEhICLE IS REGISTERED IN,section 2  accident infoRmation.0,section 2  accident infoRmation.1.0,section 2  accident infoRmation.1.1.0,section 2  accident infoRmation.1.1.1.0,section 2  accident infoRmation.1.1.1.1,Stopped in Traffic,NuMBER Of VEhICLES INVOLVED,None,MODEL_2,Moving_2,NuMBER Of VEhICLES INVOLVED_2,ADDRESS_2.1.0.1,Conventional Mode,WEATHER A 1,WEATHER A 2,LIGHTING A 1,LIGHTING A 2,ROADWAY A 1,ROADWAY A 2,ROAD CONDITIONS D 1,ROAD CONDITIONS D 2,MOVEMENT A 1,MOVEMENT  I 2,TYPE B 1,TYPE B 2,PROGRAM DIRECTORAuThORIZED REPRESENTATIVE PRINTED NAME AND TITLE,DATE SIGNED,source_file,AM,minor,Left Front Corner 1,Left Front Corner 3,VEhICLE YEAR_2,STATE VEhICLE IS REGISTERED IN_2,STATE_2,ROAD CONDITIONS H 1,ROAD CONDITIONS H 2,MOVEMENT  G 2,TYPE A 1,TYPE C 2,Right Rear 1,Right Rear 3,LIGHTING C 1,LIGHTING C 2,TYPE C 1,Moving,Moderate,Front Bumper,Right Front Corner 3,WEATHER B 1,WEATHER B 2,MOVEMENT  B 1,MOVEMENT  D 2,TYPE D 2,Right Rear Passenger 2,Front Passenger Side 4,Autonomous Mode,MOVEMENT  D 1,TYPE E 1,Left Rear 1,Passenger,Rear Bumper,MOVEMENT A 2,Injured,Passenger_2,MOVEMENT  B 2,TYPE A 2,Bicyclist,Right Front Corner 2,MOVEMENT  M 2,Left Rear 2,Left Rear Passenger 1,MOVEMENT  E 2,Front Driver Side 3,WEATHER C 1,WEATHER C 2,ROADWAY B 1,ROADWAY B 2,MOVEMENT  L 2,TYPE D 1,undefined,Other,TYPE H 1,OTHER A NO,OTHER H NO,OTHER J,CITY_2.1.1.0,Injured_2,Driver,MOVEMENT  E 1,MOVEMENT  R 2,STATE_4.0,ZIP CODE_2.0,Left Front Corner 2,Right Front Corner 1,Right Rear Passenger 4,undefined_2,Other_2,OTHER A YES,Left Rear Passenger 3,Bicyclist_2,MOVEMENT  K 2,MOVEMENT  O 1,MOVEMENT  H 2,ROAD CONDITIONS E 2,ROAD CONDITIONS G 2,OTHER E,Proper ty_2,MOVEMENT J 1,DRIVERS fuLL NAME First Middle last_2,MOVEMENT  H 1,Right Rear 2,INSuRANCE COMPANY NAME OR SuRETY COMPANY AT TIME Of ACCIDENT_2,MOVEMENT  L 1,MOVEMENT  G 1,MOVEMENT  O 2,LIGHTING B 1,LIGHTING B 2,MOVEMENT  K 1,Front Passenger Side 2,Front Driver Side 1,MOVEMENT  N 2,Stopped in Traffic_2,MOVEMENT J 2,Bicyclist_3,OTHER C,TYPE H 2,WEATHER E 1,WEATHER E 2,major,OTHER K,MOVEMENT  Q 2,OTHER D
Cruise LLC,Cruise,CA,11/13/2021,4:49,/ ,2020,Chevrolet,Bolt,CA,1100 Ocean Ave,San Francisco,San Francisco,CA,94112,,2,,Audi A5,/ ,2,"A Cruise autonomous vehicle (Cruise AV), operating in supervised autonomous mode, was traveling westbound on Ocean Avenue between Lee Avenue and Harold Avenue. The Cruise AV was traveling 18.8 mph upon coming to the intersection with Lee Avenue on a green light. As the Cruise AV entered the intersection, a 2014 Audi made a prohibited left turn from the rightmost westbound lane on Ocean Ave. The Cruise AV hard braked prior to the Cruise AV operator disengaging the Cruise AV from autonomous mode. The Cruise AV operator continued to hard brake while steering away from the approaching vehicle but, shortly thereafter, the 2014 Audi made contact with the Cruise AV, damaging the front right of the Cruise AV and the front left bumper of the 2014 Audi. The Cruise AV was traveling 11.4 mph at the time of contact. Police were not called to the scene and no injuries were reported. ",,/Yes,/Yes,/Yes,/Yes,/Yes,/Yes,,,,,/Yes,,"Todd Brugger, VP Global Markets",11/23/2021,Cruise-OL316_111321_Redacted.pdf,,/Yes,,,2014,FL,,/Yes,/Yes,,,,,,,,,/ ,,,,,,/Yes,,,,/Yes,/ ,,,,,,,,/ ,,/Yes,,/Yes,/Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cruise LLC,Cruise,CA,11/14/2021,8:38,/ ,2020,Chevrolet,Bolt,CA,385 4th Ave,San Francisco,San Francisco,CA,94118,/ ,2,,,,,"A Cruise autonomous vehicle (""Cruise AV""), operating in autonomous mode, was at a complete stop in response to a red light on southbound 4th Avenue at the intersection with Geary Boulevard. Another vehicle approaching from the rear made contact with the Cruise AV's rear bumper, damaging the rear bumper. The driver of the other vehicle left the scene without exchanging information. There were no injuries and police were not called.",,/Yes,/Yes,,,/Yes,,,,/Yes,,,,"Todd Brugger, VP Global Markets",11/23/2021,Cruise-OL316_111421_Redacted.pdf,,/Yes,,,,,,/Yes,/Yes,,,,/Yes,,/Yes,/Yes,/Yes,,,,,,,,,,,,/ ,,,/Yes,,/Yes,,,/ ,/Yes,/Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cruise LLC,Cruise,CA,11/21/2021,2:05,/ ,2020,Chevrolet,Bolt,CA,1277 Cayuga St,San Francisco,San Francisco,CA,94112,,2,,Honda,/ ,2,"A Cruise autonomous vehicle (""Cruise AV""), operating in supervised autonomous mode, was at a complete stop in response to a red light on southbound Cayuga Street at the intersection with Geneva Street. As the Cruise AV entered the intersection on a green light and continued southbound on Cayuga Street, a Honda Civic traveling northbound on Cayuga Street initiated an unprotected left turn in the intersection. The Cruise AV hard braked but, shortly thereafter, the Honda Civic made contact with the Cruise AV, damaging the back left bumper of the Cruise AV. Police were not called to the scene and no injuries were reported.",,/Yes,/Yes,/Yes,/Yes,/Yes,/Yes,,,,,/Yes,/Yes,"Todd Brugger, VP Global Markets",12/01/2021,Cruise-OL316_112121_Redacted.pdf,,/Yes,,,2015,CA,CA,/Yes,/Yes,,,,,,,,,/ ,,,,,,/Yes,,,,,/ ,,,,,,,,,,,,,,/Yes,/Yes,/Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cruise LLC,Cruise,CA,12/01/2021,05:35,/ ,2020,Chevrolet,Bolt,CA,1219 Hayes St,San Francisco,San Francisco,CA,94117,,2,,Toyota,,,"A Cruise autonomous vehicle (""Cruise AV""), operating in manual mode, was traveling eastbound on Hayes Street between Scott Street and Divisadero Street. As the Cruise AV approached the intersection with Divisadero Street, the Cruise AV made contact with the rear bumper of a 2017 Toyota Prius that was stopped at the intersection. This caused damage to the front bumper of the Cruise AV and the rear bumper of the 2017 Toyota Prius. No injuries were reported at the scene by either party. A Cruise AV test driver later sought medical evaluation.",/ ,/Yes,/Yes,,,,,,,,,,,"Todd Brugger, VP Global Markets",12/10/2021,Cruise-OL316_120121_Redacted-1-1.pdf,,/Yes,,/Yes,2017,CA,CA,/Yes,/Yes,,/Yes,/Yes,,,/Yes,/Yes,,/ ,,/Yes,/Yes,,,/Yes,,,,,,,,,/ ,,/Yes,/ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cruise LLC,Cruise,CA,12/01/2021,05:22,/ ,2020,Chevrolet,Bolt,CA,900 Laguna St,San Francisco,San Francisco,CA,94115,,2,,Ford,/ ,,"A Cruise autonomous vehicle (""Cruise AV""), operating in supervised autonomous mode, was at a complete stop in response to a red light on southbound Laguna Street at the intersection with McAllister Street. Another vehicle approaching from the rear made contact with the Cruise AV's rear bumper, damaging the rear right bumper. The driver of the other vehicle left the scene without exchanging information. There were no injuries and police were not called.",,/Yes,/Yes,,,,,,,/Yes,,,,"Todd Brugger, VP Global Markets",12/10/2021,Cruise-OL316_120121_Redacted-2.pdf,,/Yes,,,,,,/Yes,/Yes,,,,/Yes,,/Yes,/Yes,/Yes,/ ,,,,,,,/Yes,,,,/ ,,,,,,,,,,/Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cruise LLC,Cruise,CA,12/11/2021,4:47,/ ,2020,Chevrolet,Bolt,CA,460 Larkin St,San Francisco,San Francisco,CA,94102,/ ,2,,Toyota Truck,/ ,,"A Cruise autonomous vehicle (""Cruise AV""), operating in supervised autonomous mode, was at a complete stop in response to a red light on northbound Larkin Street at the intersection with Turk Street.  The Cruise AV entered the intersection on a green light and continued straight when a cyclist traveling eastbound on Turk Street entered the crosswalk. The Cruise AV braked to the cyclist and, shortly thereafter, another vehicle traveling behind the Cruise AV  made contact with the Cruise AV's rear bumper, damaging the rear left bumper. The driver of the other vehicle left the scene without exchanging information. There were no injuries and police were not called.",,/Yes,/Yes,/Yes,/Yes,/Yes,/Yes,,,/Yes,,,,"Todd Brugger, VP Global Markets",12/20/2021,Cruise-OL316_121121_Redacted.pdf,,/Yes,,,,CA,,/Yes,/Yes,,,,,,,,/Yes,/ ,,,,,,,,,,,/ ,,,/Yes,,/Yes,,,,,/Yes,,,,,,/Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cruise LLC,Cruise,CA,12/26/2021,6:41,/ ,2020,Cruise,AV,CA,799 14th Ave,San Francisco,San Francisco,CA,94118,, 2,,Toyota Sienna,/ ,,"A Cruise autonomous vehicle (""Cruise AV""), operating in supervised autonomous mode, was traveling eastbound on Fulton Street in the leftmost lane between 14th Avenue and Park Presidio Boulevard. A Toyota Sienna traveling southbound on 14th Avenue made an unprotected left turn to merge onto eastbound Fulton Street. The Cruise AV braked prior to the Cruise AV operator disengaging the Cruise AV from autonomous mode. The Cruise AV operator continued to brake but, shortly thereafter, the Toyota Sienna made contact with the Cruise AV, damaging the front left fender of the Cruise AV. Police were not called to the scene and no injuries were reported.",,,,,,,,,,,,,,"Todd Brugger, VP Global Markets",01/04/2022,Cruise-OL316_122621_Redacted.pdf,,/Yes,/Yes,,,CA,CA,/Yes,/Yes,,,,,,/Yes,/Yes,,/ ,,,,,,/Yes,,,,,/ ,,,,,,,,/ ,,/Yes,,,,,,,/Yes,/Yes,/Yes,/Yes,/Yes,/Yes,/Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cruise LLC,Cruise,CA,01/13/2021,5:32,/ ,2020,Chevrolet,Bolt,CA,201 Grant Av,San Francisco,San Francisco,CA,94108,,1,,,,,"A Cruise autonomous vehicle (""Cruise AV""), operating in manual mode, was traveling northbound on Grant Avenue between Sutter Street and Post Street.  A skateboard that escaped control of a nearby pedestrian made contact to the Cruise AV at the front passenger side tire. The skateboard caused minimal damage to the front right wheel of the Cruise AV. There were no injuries and the police were not called.   ",,/Yes,,,,/Yes,,,,,,,,"Todd Brugger, VP Global Markets",01/21/2021,Cruise_011321.pdf,,/Yes,,,,,,,,,,,,,/Yes,,,/ ,,,,,,/Yes,,,,,/ ,,,,,,,,/ ,,,,/Yes,,,,,,,,,,,,/ ,Skateboard,/Yes,/Yes,/Yes,/Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cruise LLC,Cruise,CA,1/21/2021,2:38,/ ,2020,Chevrolet,Bolt,CA,433 Minna St,San Francisco,San Francisco,CA,94103,,2,,Mazda 5,/ ,,"A Cruise autonomous vehicle (""Cruise AV""), operating in autonomous mode, was traveling Southwest on Minna Street between 5th Street and Mary Street.  A white Mazda pulled out from a construction area without yielding, onto Minna Street.  Seeing that the Mazda was not going to yield to oncoming traffic, the AVTO disengaged from autonomous mode and unsuccessfully attempted to avoid collision.  The Mazda made contact with the Cruise AV causing damage to the front driver side bumper and fender of the Cruise AV.  There were no injuries and the police were not called.   ",,/Yes,/Yes,/Yes,/Yes,,,,,,,,,"Todd Brugger, VP Global Markets",01/28/2021,Cruise_012121.pdf,,/Yes,/Yes,/Yes,2013,CA,CA,,,,/Yes,,,,,,,/ ,,,,,,/Yes,,/Yes,,,/ ,,,,/ ,,,,,,,,,,,,,/Yes,,,,,/Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cruise LLC,Cruise,CA,2/9/2021,2:41,/ ,2020,Chevrolet,Bolt,CA,1011 De Haro St,San Francisco,San Francisco,CA,94107,,1,,,,,"A Cruise autonomous vehicle (“Cruise AV”), was in autonomous mode and traveling northbound on De Haro Street between 23rd and 22nd streets. The AV braked in response to a pedestrian in the middle of the intersection on De Haro, running directly towards the AV. The AVTO, concerned for their safety, disengaged from autonomous mode to attempt to move the AV around the pedestrian who was still rapidly heading directly towards the AV in the center of the street. The Cruise AV was then struck by a skateboarder that suddenly entered the crosswalk from the southeast sidewalk, coming downhill from 22nd street. Contact was made by the skateboarder to the Cruise AV. This caused damage to the front quarter panel area and the articulating radar of the Cruise AV. Because the skateboarder appeared injured, 911 was immediately called. The skateboarder left the scene shortly after the incident and before the police arrived. The Cruise AVTOs remained on the scene and gave a statement to the police.",/ ,/Yes,,/Yes,,/Yes,,,,,,,,"Todd J. Brugger, VP Global Markets",02/18/2021,Cruise_020921.pdf,,/Yes,,,,,,,,,,,,,,,,/ ,,,,,,/Yes,,,,/Yes,,,,,/ ,,,,,,,,/Yes,,,,,,,,,,,/Yes,/ ,Skateboarder,,/Yes,,,San ,/ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cruise LLC,Cruise,CA,02/25/2021,7:10,/ ,2020,Chevrolet,Bolt,CA,700 Blk Baker St,San Francisco,San Francisco,CA,94115,,2,,Subaru,/ ,2,"A Cruise autonomous vehicle (“Cruise AV”), was in autonomous mode and traveling westbound on McAllister Street near Baker Street. The AV came to a complete stop at the stop sign at McAllister and Baker. With no other vehicles present at the intersection and having the right of way after the stop, the AV started to proceed left onto Baker Street from McAllister. As the AV was making the left turn, a Subaru traveling northbound on Baker Street quickly approached the intersection, failed to stop for the stop sign and struck the front left side of the Cruise AV. The AVTO disengaged from autonomous mode approximately 1.5 seconds before impact. The AVTOs sustained minor injuries and the AV sustained damage to the driver's side bumper and wheel assembly. The police were called but did not respond to the scene.",,/Yes,/Yes,,,/Yes,/Yes,,,,,,,"Todd J. Brugger, VP Global Markets","March 5, 2021",Cruise_022521.pdf,,,/Yes,/Yes,2015,CA,CA,,,,/Yes,,,,/Yes,/Yes,,/ ,/Yes,,,,,,,,,,/ ,,,,,,,/ ,/ ,/Yes,/Yes,,,,,,,/Yes,,,,,,,,,,,,,,/ ,/ ,/Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
